ID,UFINCA,DERECHOS,PLANO_CAT,AREA_PL,AREA_ER,PROVINCIA,CANTON,DISTRITO,DIRECCION,TELEFONO,IMAGEN_PC,IMAGEN_EC,IMAGEN_EP,IMAGEN_PJ,OBSERVAC
"81",2-00146780,"1",NO SE INDICA ,,"128.74",ALAJUELA ,OROTINA,HACIENDA VIEJA,,,,,,,
"9",2-00245936,"1",A-0006729-1974,"39005.57","10,786.15",ALAJUELA,ALAJUELA,GUACIMA,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00245936\A-0006729-1974.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00245936\2-00245936.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00245936\A-0006729-1974_EP.pdf,,
"2",1-00297013,"1",SJ-0351011-1979,"32,690.66","30,065.66",SAN JOSE,SANTA ANA ,POZOS,,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00297013\1-00297013.pdf,,,
"79",2-00533451,"1",A-1814368-2015,"126941","126941",ALAJUELA,ALAJUELA,TURRUCARES,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00533451\A-1814368-2015.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00533451\2-00533451.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00533451\A-1814368-2015_EP.pdf,,
"78",2-00194160,"1",NO SE INDICA,,"71320,27",ALAJUELA,ALAJUELA,SAN RAFAEL,,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00194160\2-00194160.pdf,,,
"10",2-00119874,"3",A-0296054-1978,"111973.05","96,148.52",ALAJUELA,ALAJUELA,TURRUCARES,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00119874\A-0296054-1978.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00119874\2-00119874.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00119874\A-0296054-1978_EP.pdf,,
"11",2-00127074,"1",A-0752507-2001,"20966.3","20,966.30",ALAJUELA,ALAJUELA,GUACIMA,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00127074\A-0752507-2001.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00127074\2-00127074.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00127074\A-0752507-2001_EP.pdf,,
"12",2-00528217,"2",A-0813502-2002,"948.35","909.35",ALAJUELA,ALAJUELA,GUACIMA,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00528217\A-0813502-2002.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00528217\2-00528217.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00528217\A-0813502-2002_EP.pdf,,
"13",2-00524949,"6",A-0819097-2002,"948.17","888.17",ALAJUELA,ALAJUELA,GUACIMA,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00524949\A-0819097-2002.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00524949\2-00524949.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00524949\A-0819097-2002_EP.pdf,,
"27",2-00449286,"1",A-0502148-1998,"688","688",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00449286\A-0502148-1998.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00449286\2-00449286.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00449286\A-0502148-1998_EP.pdf,,
