ID,NUMERO,PROPIETARIO,NUMERO_EXP,UFINCA,PLANO_EXP,AREA_EXP,TIPO_EXP,SECCION,KM_INI,KM_FI,FECHA_IN,OFICIO_IN,FECHA_FI,FINCA_MAD,MONTO_AVA,NUM_AVA,ESTADO,IMAGEN_PE,OBSERVAC,PROCESO
"12",P-18,,2019-07,,A-2138051-2019,"239",PARCIAL,"2",21+600,21+670,01-ENE-2019,,,2-00127074,"11847785.00",008-2019,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2138051-2019.pdf,,EN PROCESO
"18",P-3,,2019-12,,A-2147891-2019,"668",PARCIAL,"2",18+550,,01-ENE-2019,,,2-00420477,"0.00",027-2019,DESESTIMADO,,,
"13",P-19,,2019-07,,A-2140536-2019,"146",PARCIAL,"2",21+670,21+690,01-ENE-2019,,,2-00127074,"11847785.00",008-2019,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2140536-2019.pdf,,EN PROCESO
"16",P-2,,2019-10,,A-2143361-2019,"102",PARCIAL,"2",20+730,20+760,01-ENE-2019,,,2-00014826,"2675267.00",029-2019,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2143361-2019.pdf,,EN PROCESO
"29",P-32,,2019-20,,A-2140795-2019,"90",PARCIAL,"3",54+400,,01-ENE-2019,,,2-00494506,,,DETENIDO,,,
"30",P-25,,2019-21,,A-2139758-2019,"78",PARCIAL,"3",57+510,,01-ENE-2019,,,2-00253834,,,DETENIDO,,,
"32",P-33,,2019-23,,A-2139764-2019,"313",PARCIAL,"3",54+410,,01-ENE-2019,,,2-00284397,,,DETENIDO,,,
"40",,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-31,2-00592803,A-2156259-2019,"244",PARCIAL,"2",40+065,40+120,01-ENE-2019,,19-AGO-2020,2-00181977,"14255264.00",037-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00592803\A-2156259-2019.pdf,,FINALIZADO
"125",SIII-23-66,,,,SIII-23-66,"0",PARCIAL,"3",54+440,54+700,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"46",SI-1-3,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2020-04,1-00722652,SJ-2196853-2020,"18",PARCIAL,"1",6+300 ,6+320,01-ENE-2020,,27-AGO-2021,1-00555111,"8590914.00",002-2020,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\1-00722652\SJ-2196853-2020.pdf,,FINALIZADO
"31",ESC-2,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-22,2-00590714,A-2151835-2019,"823",PARCIAL,"2",44+030,44+100,01-ENE-2019,,17-JUN-2020,2-00212957,"10981175.00",035-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00590714\A-2151835-2019.pdf,,FINALIZADO
"28",OROT-1,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-19,2-00630252,A-2154217-2019,"2349",PARCIAL,"2",48+610,48+890,01-ENE-2019,,13-JUN-2023,2-00080285,"33034184.00",036-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00630252\A-2154217-2019.pdf,,FINALIZADO
"131",SIII-23-69,,,,SIII-23-69,"0",PARCIAL,"3",55+595,55+645,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"132",SIII-23-70,,,,SIII-23-70,"0",PARCIAL,"3",55+670,55+740,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"134",SIII-23-72,,,,SIII-23-72,"0",PARCIAL,"3",56+420,57+440,05-JUN-2023,CNC-APD-0127-2023,,2-00284414,,,,,,SIN INICIAR
"117",,,2023-02,,SJ-0018086-2023,"166",PARCIAL,"1",10+675,10+685,01-ENE-2023,,,1-00547774,"56700000.00",,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-0018086-2023.pdf,,EN PROCESO
"2",,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2018-04,1-00705708,SJ-2092430-2018,"2617",PARCIAL,"1",11+075,11+140,01-ENE-2018,, 25-OCT-2019,1-00697801,"961453725.33",02-2018,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\1-00705708\SJ-2092430-2018.pdf,,FINALIZADO
"3",,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2018-05,1-00697802,SJ-2057664-2018,"615",PARCIAL,"1",11+130,11+160,01-ENE-2018,,12-JUN-2020,1-00306901,"240953191.00",003-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\1-00697802\SJ-2057664-2018.pdf,,FINALIZADO
"4",,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2018-06,1-00705620,SJ-2092044-2018,"1183",PARCIAL,"1",11+075,11+100,01-ENE-2018,,22-OCT-2019,1-00306901,"472908486.15",01-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\1-00705620\SJ-2092044-2018.pdf,,FINALIZADO
"142",SIII-23-75-4,,,,A-0038800-2023,"68",PARCIAL,"3",57+660,57+670,05-JUN-2023,CNC-APD-0127-2023,,2-00341122,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0038800-2023.pdf,,SIN INICIAR
"144",SIII-23-76,,,,SIII-23-76,"0",PARCIAL,"3",58+070,58+400,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"145",SIII-23-77,,,,SIII-23-77,"0",PARCIAL,"3",58+200,58+905,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"148",SIII-23-82,,,,SIII-23-82,"0",PARCIAL,"3",61+750,61+830,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"150",SIII-23-85,,,,SIII-23-85,"0",PARCIAL,"3",68+690,69+490,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"151",SIII-23-86,,,,SIII-23-86,"0",PARCIAL,"3",69+900,70+605,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"153",SIII-23-87-2,,,,SIII-23-87-2,"0",PARCIAL,"3",70+110,70+140,05-JUN-2023,CNC-APD-0127-2023,,2-00450725,,,,,,SIN INICIAR
"154",SIII-23-87-3,,,,SIII-23-87-3,"0",PARCIAL,"3",70+140,70+170,05-JUN-2023,CNC-APD-0127-2023,,2-00452506,,,,,,SIN INICIAR
