id;propietario;numero_exp;ufinca;plano_exp;area_exp;tipo_exp;seccion;finca_madre;monto_ava;num_ava;condicion
1;privado;2019-07;;A-2138051-2019;239,00;parcial;2;2-00127074;11847785;008-2019;en proceso
2;privado;2019-12;;A-2147891-2019;668,00;parcial;2;2-00420477;0,00;027-2019;sin iniciar
3;privado;2019-07;;A-2140536-2019;146,00;parcial;2;2-00127074;11847785,00;008-2019;en proceso
4;privado;2019-10;;A-2143361-2019;102,00;parcial;2;2-00014826;2675267,00;029-2019;en proceso
5;privado;2019-20;;A-2140795-2019;90,00;parcial;3;2-00494506;0,00;;sin iniciar
6;privado;2019-21;;A-2139758-2019;78,00;parcial;3;2-00253834;0,00;;sin iniciar
7;privado;2019-23;;A-2139764-2019;313,00;parcial;3;2-00284397;0,00;;sin iniciar
8;del estado;2019-31;2-00592803;A-2156259-2019;244,00;parcial;2;2-00181977;14255264,00;037-2019;finalizado
9;privado;;;SIII-23-66;0,00;parcial;3;;0,00;;sin iniciar
10;del estado;2020-04;1-00722652;SJ-2196853-2020;18,00;parcial;1;1-00555111;8590914,00;002-2020;finalizado
11;del estado;2019-22;2-00590714;A-2151835-2019;823,00;parcial;2;2-00212957;10981175,00;035-2019;finalizado
12;del estado;2019-19;2-00630252;A-2154217-2019;2349,00;parcial;2;2-00080285;33034184,00;036-2019;finalizado
13;privado;;;SIII-23-69;0,00;parcial;3;;0,00;;sin iniciar
14;privado;;;SIII-23-70;0,00;parcial;3;;0,00;;sin iniciar
15;privado;;;SIII-23-72;0,00;parcial;3;2-00284414;0,00;;sin iniciar
16;privado;2023-02;;SJ-0018086-2023;166,00;parcial;1;1-00547774;56700000,00;;en proceso
17;del estado;2018-04;1-00705708;SJ-2092430-2018;2617,00;parcial;1;1-00697801;961453725,00;;finalizado
18;del estado;2018-05;1-00697802;SJ-2057664-2018;615,00;parcial;1;1-00306901;240953191,00;003-2019;finalizado
19;del estado;2018-06;1-00705620;SJ-2092044-2018;1183,00;parcial;1;1-00306901;472908486,00;;finalizado
20;privado;;;A-0038800-2023;68,00;parcial;3;2-00341122;0,00;;sin iniciar
21;privado;;;SIII-23-76;0,00;parcial;3;;0,00;;sin iniciar
22;privado;;;SIII-23-77;0,00;parcial;3;;0,00;;sin iniciar
23;privado;;;SIII-23-82;0,00;parcial;3;;0,00;;sin iniciar
